Nombre, Tipo, Fecha, Directorio Origen
Prueba,D,2019-12-14 21:56:33.008798,C:
find.py,F,2019-12-14 21:56:21.938929,C:
muestra.py,F,2019-12-14 23:21:14.422866,C:
